p1_hand_category;p1_hand_rank;p1_hand_value;p2_hand_category;p2_hand_rank;p2_hand_value;p1_action_0;p1_raise_0;p2_action_0;p2_raise_0;p1_action_1;p1_raise_1;p2_action_1;p2_raise_1;p1_action_2;p1_raise_2;p2_action_2;p2_raise_2;p1_action_3;p1_raise_3;p2_action_3;p2_raise_3;p1_money_left;p2_money_left;p1_spent_per_hand_value;p2_spent_per_hand_value;p1_final_action;p2_final_action
2;11;35;8;4;406;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.657142857142857;0.068965517241379;2;1
5;13;320;2;14;120;2;5;2;10;2;20;2;77;1;77;-1;-1;-1;-1;-1;-1;299;315;0.315625;0.708333333333333;1;2
0;14;230;4;6;357;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.1;0.07843137254902;2;1
0;4;173;5;14;374;2;5;2;10;2;87;1;87;-1;-1;-1;-1;-1;-1;-1;-1;310;305;0.520231213872832;0.254010695187166;2;1
6;10;447;2;14;195;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.143176733780761;0.246153846153846;1;2
1;9;486;2;11;220;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.049382716049383;0.218181818181818;0;2
1;11;216;8;10;495;2;5;2;10;2;3;2;6;0;0;-1;-1;-1;-1;-1;-1;393;386;0.032407407407407;0.028282828282828;0;2
1;9;297;8;14;476;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.080808080808081;0.100840336134454;0;2
0;10;109;2;13;485;2;5;2;10;2;52;3;475;-1;-1;-1;-1;-1;-1;-1;-1;345;-83;0.504587155963303;0.995876288659794;2;3
3;10;242;2;12;156;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.09504132231405;0.179487179487179;2;1
2;10;129;6;11;427;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.496124031007752;0.112412177985948;1;2
0;13;330;0;14;123;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.06969696969697;0.065040650406504;2;0
1;6;285;1;7;243;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.080701754385965;0.032921810699589;2;0
4;8;367;2;10;80;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.062670299727521;0.35;2;1
2;10;370;2;14;360;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.062162162162162;0.077777777777778;2;1
0;2;142;3;4;327;2;5;2;10;2;61;1;61;-1;-1;-1;-1;-1;-1;-1;-1;336;331;0.450704225352113;0.211009174311927;2;1
2;12;170;3;9;469;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.141176470588235;0.102345415778252;0;2
1;14;130;6;14;269;2;5;2;10;2;53;1;53;-1;-1;-1;-1;-1;-1;-1;-1;344;339;0.430769230769231;0.226765799256506;2;1
4;5;362;0;12;160;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.06353591160221;0.05;2;0
5;7;385;2;14;111;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.05974025974026;0.252252252252252;2;1
1;2;233;6;3;440;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.103004291845494;0.109090909090909;0;2
1;2;424;0;13;216;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.054245283018868;0.037037037037037;2;0
2;11;146;4;8;277;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.157534246575342;0.101083032490975;2;1
1;12;304;1;2;150;2;5;2;10;2;163;0;0;-1;-1;-1;-1;-1;-1;-1;-1;234;392;0.546052631578947;0.053333333333333;2;0
1;3;423;2;14;410;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.054373522458629;0.068292682926829;2;1
1;4;226;3;5;445;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.106194690265487;0.107865168539326;0;2
4;5;409;2;12;201;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.056234718826406;0.139303482587065;2;1
1;7;206;5;6;478;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.116504854368932;0.100418410041841;0;2
1;13;189;2;11;280;2;5;2;10;2;155;3;270;-1;-1;-1;-1;-1;-1;-1;-1;242;122;0.835978835978836;0.992857142857143;2;3
2;10;306;6;13;474;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.209150326797386;0.10126582278481;1;2
